Date;DataFileName;QueriesFileName;NombreTriplet;NombreRequete;DictIndexTime;AllQueriesTime;WorkloadTime
2021-12-25 16-24-43;100K.nt;STAR_ALL_workload.queryset;107338;1200;9805;424;10299
2021-12-26 09-05-44;100K.nt;STAR_ALL_workload.queryset;107338;1200;17881;467;18415
2021-12-26 09-18-07;100K.nt;STAR_ALL_workload.queryset;107338;1200;12229;752;13025
2021-12-26 09-19-26;100K.nt;STAR_ALL_workload.queryset;107338;1200;9803;419;10281
2021-12-26 09-20-01;100K.nt;STAR_ALL_workload.queryset;107338;1200;10665;792;11499
2021-12-26 09-21-48;100K.nt;NSTAR_ALL_workload.queryset;107338;800;10395;334;10783
2021-12-26 09-27-16;100K.nt;STAR_ALL_workload.queryset;107338;1200;15376;739;16165
2021-12-26 09-28-25;100K.nt;NSTAR_ALL_workload.queryset;107338;260;16037;266;16377
2021-12-28 18-02-57;100K.nt;STAR_ALL_workload.queryset;107338;0;11186;449;11715
2021-12-28 18-04-40;100K.nt;STAR_ALL_workload.queryset;107338;0;11098;461;11639
2021-12-28 18-09-08;100K.nt;STAR_ALL_workload.queryset;107338;0;9241;455;9773
2021-12-28 18-11-31;100K.nt;STAR_ALL_workload.queryset;107338;0;9522;640;10237
2021-12-28 18-12-56;100K.nt;STAR_ALL_workload.queryset;107338;0;11156;452;11726
2021-12-28 18-16-55;100K.nt;STAR_ALL_workload.queryset;107338;0;12195;606;12934
2021-12-28 18-18-19;100K.nt;STAR_ALL_workload.queryset;107338;0;12765;547;13447
2021-12-28 18-18-53;100K.nt;STAR_ALL_workload.queryset;107338;0;16650;611;17415
2021-12-28 18-23-54;100K.nt;STAR_ALL_workload.queryset;107338;0;12700;608;13635
2021-12-28 18-26-07;100K.nt;STAR_ALL_workload.queryset;107338;0;12079;590;12778
2021-12-28 18-29-56;100K.nt;STAR_ALL_workload.queryset;107338;0;13127;439;18405
2021-12-28 18-31-59;100K.nt;STAR_ALL_workload.queryset;107338;0;17319;467;22346
2021-12-28 19-35-41;100K.nt;STAR_ALL_workload.queryset;107338;0;15586;473;20446
2021-12-28 19-54-22;100K.nt;STAR_ALL_workload.queryset;107338;0;17869;543;23560
2021-12-28 19-57-54;100K.nt;STAR_ALL_workload.queryset;107338;0;28998;559;34273
2021-12-28 20-00-01;100K.nt;STAR_ALL_workload.queryset;107338;0;16565;478;21448
2021-12-28 20-02-48;100K.nt;STAR_ALL_workload.queryset;107338;0;17320;480;22348
2021-12-28 20-04-08;100K.nt;STAR_ALL_workload.queryset;107338;0;20139;509;25721
2021-12-28 20-05-26;100K.nt;STAR_ALL_workload.queryset;107338;0;24828;541;30418
2021-12-28 20-09-34;100K.nt;STAR_ALL_workload.queryset;107338;0;21087;522;26912
2021-12-28 20-12-17;100K.nt;STAR_ALL_workload.queryset;107338;0;11443;470;17006
2021-12-28 20-15-55;100K.nt;STAR_ALL_workload.queryset;107338;0;9191;396;13970
2021-12-28 20-17-33;100K.nt;STAR_ALL_workload.queryset;107338;0;12869;334;16618
2021-12-28 20-19-16;100K.nt;STAR_ALL_workload.queryset;107338;0;13028;436;17965
2021-12-28 20-21-05;100K.nt;STAR_ALL_workload.queryset;107338;0;12615;473;18385
2021-12-28 20-22-17;100K.nt;STAR_ALL_workload.queryset;107338;0;14575;428;18896
2021-12-28 20-29-14;100K.nt;STAR_ALL_workload.queryset;107338;0;11981;453;17196
2021-12-28 20-52-26;100K.nt;STAR_ALL_workload.queryset;107338;0;12225;626;17211
2021-12-28 20-52-46;100K.nt;STAR_ALL_workload.queryset;107338;0;14968;436;19787
2021-12-28 20-57-53;100K.nt;STAR_ALL_workload.queryset;107338;0;12478;590;17589
2021-12-28 20-59-43;100K.nt;STAR_ALL_workload.queryset;107338;0;23094;520;28188
2021-12-28 21-03-05;100K.nt;STAR_ALL_workload.queryset;107338;0;17098;532;22715
2021-12-28 21-13-09;100K.nt;STAR_ALL_workload.queryset;107338;0;18639;421;22848
2021-12-28 21-20-23;100K.nt;STAR_ALL_workload.queryset;107338;0;19820;575;25288
2021-12-28 21-21-53;100K.nt;STAR_ALL_workload.queryset;107338;0;12938;431;17614
2021-12-28 21-30-31;100K.nt;STAR_ALL_workload.queryset;107338;0;27900;588;33633
2021-12-28 21-36-01;100K.nt;STAR_ALL_workload.queryset;107338;0;29658;622;35158
2021-12-28 21-39-59;100K.nt;STAR_ALL_workload.queryset;107338;0;25012;651;31310
2021-12-28 21-41-00;100K.nt;STAR_ALL_workload.queryset;107338;0;25264;638;31612
2021-12-28 21-46-45;100K.nt;STAR_ALL_workload.queryset;107338;0;26559;684;32446
2021-12-28 21-50-01;100K.nt;STAR_ALL_workload.queryset;107338;0;12564;419;16913
2021-12-28 21-53-44;100K.nt;STAR_ALL_workload.queryset;107338;0;13862;415;18478
2021-12-28 22-04-22;100K.nt;sample_query.queryset;107338;0;16302;71;18605
2021-12-28 22-06-16;100K.nt;sample_query.queryset;107338;0;12275;67;14832
2021-12-28 22-07-15;100K.nt;sample_query.queryset;107338;0;10855;54;13035
2021-12-28 22-11-57;100K.nt;sample_query.queryset;107338;0;11334;56;13870
2021-12-28 22-12-28;100K.nt;sample_query.queryset;107338;0;12544;61;14714
2021-12-28 22-13-54;100K.nt;STAR_ALL_workload.queryset;107338;0;14305;444;19341
2021-12-28 22-14-42;100K.nt;STAR_ALL_workload.queryset;107338;0;13476;442;17869
2021-12-28 22-15-18;100K.nt;STAR_ALL_workload.queryset;107338;0;9841;431;14054
2021-12-28 22-15-52;100K.nt;STAR_ALL_workload.queryset;107338;0;12160;326;15822
2021-12-28 22-16-24;100K.nt;STAR_ALL_workload.queryset;107338;0;12990;356;16705
2021-12-29 09-12-16;100K.nt;STAR_ALL_workload.queryset;107338;0;13437;531;-1640765536814
2021-12-29 09-13-17;100K.nt;STAR_ALL_workload.queryset;107338;0;13021;425;-1640765597182
2021-12-29 09-14-13;100K.nt;STAR_ALL_workload.queryset;107338;0;11829;401;-1640765653842
2021-12-29 09-16-07;100K.nt;STAR_ALL_workload.queryset;107338;0;10213;404;14656
2021-12-29 09-16-53;100K.nt;STAR_ALL_workload.queryset;107338;0;12938;398;17389
2021-12-29 14-43-45;100K.nt;STAR_ALL_workload.queryset;107338;0;12484;11;17221
2021-12-29 14-46-13;100K.nt;STAR_ALL_workload.queryset;107338;0;11955;14;16477
2021-12-29 14-55-22;100K.nt;STAR_ALL_workload.queryset;107338;0;9590;16;13751
2021-12-29 14-59-27;100K.nt;STAR_ALL_workload.queryset;107338;0;11641;29;15814
2021-12-29 15-00-01;100K.nt;STAR_ALL_workload.queryset;107338;0;12794;18;16890
2021-12-29 15-00-40;100K.nt;STAR_ALL_workload.queryset;107338;0;10744;23;14948
2021-12-29 15-01-07;100K.nt;STAR_ALL_workload.queryset;107338;0;18523;26;22673
2021-12-29 15-01-35;100K.nt;STAR_ALL_workload.queryset;107338;0;11814;21;16286
2021-12-29 15-06-26;100K.nt;STAR_ALL_workload.queryset;107338;0;14493;25;19167
2021-12-29 15-07-02;100K.nt;STAR_ALL_workload.queryset;107338;0;12501;26;17089
2021-12-29 15-07-48;100K.nt;STAR_ALL_workload.queryset;107338;0;12797;20;16919
2021-12-29 15-08-20;100K.nt;STAR_ALL_workload.queryset;107338;0;12015;11;16424
2021-12-29 16-01-37;100K.nt;STAR_ALL_workload.queryset;107338;0;13438;10;17941
2021-12-29 16-15-36;100K.nt;STAR_ALL_workload.queryset;107338;0;13902;12;18494
2021-12-29 16-30-40;100K.nt;STAR_ALL_workload.queryset;107338;0;13060;13;17383
